W=250,H=1843,OPT(I)=1631
SORT=Descending Area (1),LOSS=11.5114%,ROTATIONS=0
id,x,y,w,h
18,0,0,163,152
11,0,152,176,139
6,0,291,163,135
16,0,426,133,160
14,0,586,146,133
9,147,426,103,186
3,0,719,164,107
19,0,826,110,155
10,0,981,152,106
23,110,826,119,133
28,0,1087,101,146
12,101,1087,111,118
21,158,1205,92,142
20,0,1233,96,136
15,138,1347,112,112
29,0,1459,172,73
30,177,0,73,169
25,0,1532,146,84
22,166,612,84,143
4,176,169,64,184
13,181,1459,69,169
5,0,1369,121,86
31,0,1616,99,99
7,152,959,85,98
8,99,1616,81,102
17,180,1628,63,129
26,0,1715,93,86
27,93,1757,89,86
2,182,1757,66,80
24,163,353,71,71
1,163,424,30,2
