N,H/W,H/OPTH
5,0.1,1.0
5,0.2,1.0
5,0.5,1.0
5,1.0,1.0
5,2.0,1.0
5,5.0,1.0
5,10.0,1.0
10,0.1,1.06697
10,0.2,1.06253
10,0.5,1.06834
10,1.0,1.06727
10,2.0,1.06839
10,5.0,1.06251
10,10.0,1.06317
50,0.1,1.07564
50,0.2,1.08106
50,0.5,1.08714
50,1.0,1.08601
50,2.0,1.08601
50,5.0,1.08621
50,10.0,1.08578
100,0.1,1.03773
100,0.2,1.04376
100,0.5,1.04837
100,1.0,1.05153
100,2.0,1.05245
100,5.0,1.05114
100,10.0,1.0518
200,0.1,1.01242
200,0.2,1.0177
200,0.5,1.02319
200,1.0,1.02614
200,2.0,1.02689
200,5.0,1.02785
200,10.0,1.02899
500,0.1,1.00067
500,0.2,1.00373
500,0.5,1.00463
500,1.0,1.00685
500,2.0,1.00857
500,5.0,1.00955
500,10.0,1.01019
1000,0.1,1.0
1000,0.2,1.0
1000,0.5,1.00043
1000,1.0,1.00116
1000,2.0,1.00219
1000,5.0,1.00388
1000,10.0,1.00471
2000,0.1,1.0
2000,0.2,1.0
2000,0.5,1.0
2000,1.0,1.0
2000,2.0,1.00012
2000,5.0,1.00058
2000,10.0,1.00108
